,id,mass,metallicity
0,0,1762.13,0.00710731
1,5,1.89088,0.0236472
2,15,0.057495,0.0546054
3,20,0.171339,0.0310514
4,21,0.708014,0.00813434
5,22,0.286947,0.0285058
6,23,0.121792,0.0179996
7,26,0.452291,0.0140708
8,33,0.028466,0.0290475
9,37,0.37798,0.00921499
10,40,0.220992,0.0126188
11,44,0.172305,0.0126663
12,51,0.161557,0.00916376
13,52,0.025274,0.016464
14,56,0.153708,0.0140136
15,68,0.058174,0.00813807
16,70,0.164581,0.00771696
17,71,0.010583,0.00952241
18,75,0.105637,0.0163144
19,76,0.017988,0.0
20,80,0.089806,0.0061103
21,91,0.086704,0.00880327
22,92,0.040554,0.0112056
23,95,0.083109,0.00580569
24,100,0.030529,0.0133142
25,101,0.043779,0.004417
26,122,0.011452,0.0053873
27,123,0.028125,0.00523568
28,142,0.045849,0.00992803
29,151,0.027307,0.00083097
30,152,0.030374,0.00221162
31,162,0.068221,0.0105328
32,232,0.01101,0.00389135
33,10482,843.52,0.00428881
34,10483,0.158177,0.0204205
35,10485,5.56065,0.0131556
36,10486,0.398502,0.0228008
37,10487,1.63529,0.0154877
38,10488,1.65329,0.0104408
39,10489,1.21411,0.0154121
40,10490,0.545503,0.032482
41,10494,0.505715,0.0176439
42,10498,0.060512,0.0287358
43,10501,0.143467,0.0290311
44,10503,0.158732,0.0184237
45,10504,0.014998,0.0493724
46,10506,0.309167,0.00914288
47,10508,0.273093,0.0157412
48,10509,0.520553,0.0085561
49,10510,0.11577,0.0226962
50,10511,0.006216,0.0408773
51,10513,0.324577,0.00576821
52,10519,0.101413,0.0122243
53,10523,0.128888,0.0049728
54,10536,0.081121,0.00800914
55,10545,0.115556,0.00473327
56,10553,0.082653,0.00227318
57,10555,0.026931,0.0368439
58,10568,0.043833,0.00855317
59,10580,0.011346,0.00220872
60,10587,0.014055,0.00413538
61,10620,0.115811,0.0143548
62,10835,0.032643,0.0120857
63,10957,0.024644,0.00649197
64,11011,0.010522,0.0211501
65,11197,0.014814,0.011326
66,16110,615.226,0.0133184
67,16111,1.16324,0.0142056
68,16113,4.11289,0.0227327
69,16116,0.11629,0.0557327
70,16117,0.025205,0.0418804
71,16120,0.73998,0.0101616
72,16122,0.028437,0.0421941
73,16123,0.005404,0.0382905
74,16124,0.188148,0.0279585
75,16128,0.097435,0.0277169
76,16133,0.064365,0.0385377
77,16134,0.123114,0.0383592
78,16136,0.243778,0.011035
79,16137,0.020213,0.0273055
80,16138,0.036568,0.0748114
81,16139,0.005039,0.0308642
82,16140,0.093512,0.0254707
83,16141,0.071104,0.0349165
84,16146,0.158618,0.00731056
85,16153,0.063212,0.00279189
86,16159,0.019874,0.00634269
87,16165,0.045277,0.00257999
88,16166,0.033943,0.00134637
89,16170,0.017929,0.00284095
90,16385,0.028507,0.00805442
91,16433,0.025661,0.00480427
92,16496,0.017012,0.0100534
93,16691,0.001952,0.00181381
94,16715,0.008998,0.00735249
95,16969,0.00585,0.00759154
96,19546,382.444,0.0114898
97,19547,7.46498,0.0146029
98,19548,0.638483,0.00905191
99,19549,0.362183,0.0157316
100,19550,4.77403,0.02148
101,19551,2.43739,0.00930277
102,19553,1.14301,0.0184993
103,19554,0.863634,0.0282903
104,19555,1.96759,0.0152875
105,19557,1.53786,0.0195039
106,19558,0.008571,0.0123579
107,19559,0.828089,0.021026
108,19561,0.273974,0.0375238
109,19562,0.302102,0.0290317
110,19563,0.254332,0.0221806
111,19564,0.484435,0.0217757
112,19566,0.797075,0.0108662
113,19567,0.34995,0.0188521
114,19568,0.216694,0.0365617
115,19569,0.24441,0.02022
116,19570,0.558814,0.0160117
117,19573,0.086606,0.00951165
118,19574,0.018489,0.040438
119,19575,0.014855,0.0435334
120,19576,0.032751,0.0405076
121,19577,0.239644,0.0104035
122,19578,0.151654,0.0142055
123,19579,0.19915,0.0108648
124,19580,0.060392,0.0159726
125,19581,0.100263,0.0183384
126,19582,0.052427,0.0138237
127,19583,0.070603,0.0283686
128,19584,0.101458,0.0106617
129,19585,0.047121,0.010794
130,19586,0.067134,0.0188779
131,19587,0.050219,0.0242013
132,19589,0.191387,0.00636981
133,19591,0.013299,0.0182015
134,19592,0.066629,0.0173503
135,19593,0.115341,0.0127229
136,19597,0.018597,0.00843377
137,19598,0.09015,0.00351642
138,19599,0.290229,0.00442083
139,19601,0.109258,0.0122
140,19603,0.007598,0.0367458
141,19606,0.062614,0.00988389
142,19615,0.126645,0.00291548
143,19630,0.024467,0.0126205
144,19652,0.022154,0.00414911
145,19699,0.070039,0.0160397
146,19739,0.043539,0.0188748
147,19745,0.064555,0.0109237
148,19750,0.048583,0.0113596
149,19809,0.041953,0.0141469
150,20043,0.019542,0.0157972
151,20094,0.001824,0.0209084
152,20456,0.010029,0.0
153,24112,308.997,0.0161255
154,24113,15.3611,0.0173837
155,24114,7.3323,0.0179379
156,24115,2.37679,0.022452
157,24116,1.96142,0.0177131
158,24118,1.26565,0.0141355
159,24119,1.0609,0.0194327
160,24121,1.20481,0.0155487
161,24122,0.690432,0.0352981
162,24123,0.38455,0.0275084
163,24124,0.723217,0.0276276
164,24125,0.836085,0.0135306
165,24126,0.337644,0.015342
166,24127,0.477539,0.0114009
167,24128,0.618797,0.00900591
168,24129,0.261643,0.0179217
169,24130,0.362187,0.0116451
170,24131,0.165242,0.0158579
171,24132,0.161999,0.0126
172,24134,0.053313,0.0585238
173,24135,0.120666,0.0125554
174,24137,0.048968,0.0399169
175,24138,0.023543,0.0156059
176,24143,0.043089,0.00747155
177,24147,0.041731,0.00913543
178,24149,0.01116,0.00954701
179,24162,0.022432,0.0589392
180,24166,0.086233,0.00991486
181,24167,0.026103,0.0517709
182,24168,0.040545,0.00406422
183,24170,0.033609,0.0579537
184,24176,0.02167,0.0511355
185,24187,0.185003,0.00905979
186,24213,0.110147,0.00816601
187,24222,0.09147,0.00973365
188,24224,0.088338,0.00906114
189,24273,0.053202,0.00950627
190,24277,0.053144,0.0135192
191,24283,0.053564,0.00699438
192,24305,0.047804,0.0100617
193,24308,0.053192,0.00523293
194,24310,0.043528,0.0188825
195,24338,0.04266,0.0100556
196,24362,0.029366,0.00873668
197,24365,0.035309,0.0129265
198,24385,0.03541,0.00888624
199,24401,0.033197,0.00995367
